substrate,formula,Cs,reduction degree,Crd,product,formula,Cp,reduction degree,Crd,rate,path yield,rdyield,difference
e4p_c,C4H7O7P,4,16,4.0,pep_c,C3H2O6P,3,10,3.3333333333333335,1000.0,0.75,1.2,0.44999999999999996
e4p_c,C4H7O7P,4,16,4.0,r5p_c,C5H9O8P,5,20,4.0,736.9871402327017,0.9212339252908771,1.0,0.07876607470912289
e4p_c,C4H7O7P,4,16,4.0,oaa_c,C4H2O5,4,10,2.5,551.3055428309666,0.5513055428309666,1.6,1.0486944571690335
e4p_c,C4H7O7P,4,16,4.0,3pg_c,C3H4O7P,3,10,3.3333333333333335,1000.0,0.75,1.2,0.44999999999999996
e4p_c,C4H7O7P,4,16,4.0,pyr_c,C3H3O3,3,10,3.3333333333333335,776.1437908496735,0.582107843137255,1.2,0.6178921568627449
e4p_c,C4H7O7P,4,16,4.0,akg_c,C5H4O5,5,16,3.2,454.1108986615685,0.5676386233269607,1.25,0.6823613766730393
e4p_c,C4H7O7P,4,16,4.0,accoa_c,C23H34N7O17P3S,2,8,4.0,1000.0,0.6250000000000001,1.0,0.3749999999999999
e4p_c,C4H7O7P,4,16,4.0,f6p_c,C6H11O9P,6,24,4.0,567.0200235571252,0.8505300353356879,1.0,0.14946996466431206
e4p_c,C4H7O7P,4,16,4.0,g6p_c,C6H11O9P,6,24,4.0,567.0200235571267,0.85053003533569,1.0,0.14946996466430995
e4p_c,C4H7O7P,4,16,4.0,g3p_c,C3H5O6P,3,12,4.0,1000.0,0.75,1.0,0.25
e4p_c,C4H7O7P,4,16,4.0,succoa_c,C25H35N7O19P3S,4,14,3.5,601.2658227848117,0.6012658227848117,1.1428571428571428,0.5415913200723311
pep_c,C3H2O6P,3,10,3.3333333333333335,e4p_c,C4H7O7P,4,16,4.0,545.4545454545603,0.727272727272747,0.8333333333333334,0.10606060606058632
pep_c,C3H2O6P,3,10,3.3333333333333335,r5p_c,C5H9O8P,5,20,4.0,396.22641509433987,0.6603773584905666,0.8333333333333334,0.1729559748427668
pep_c,C3H2O6P,3,10,3.3333333333333335,oaa_c,C4H2O5,4,10,2.5,390.0928792569663,0.5201238390092884,1.3333333333333335,0.8132094943240451
pep_c,C3H2O6P,3,10,3.3333333333333335,3pg_c,C3H4O7P,3,10,3.3333333333333335,1000.0,1.0,1.0,0.0
pep_c,C3H2O6P,3,10,3.3333333333333335,pyr_c,C3H3O3,3,10,3.3333333333333335,549.0196078431381,0.5490196078431382,1.0,0.4509803921568618
pep_c,C3H2O6P,3,10,3.3333333333333335,akg_c,C5H4O5,5,16,3.2,321.2237093690249,0.5353728489483748,1.0416666666666667,0.506293817718292
pep_c,C3H2O6P,3,10,3.3333333333333335,accoa_c,C23H34N7O17P3S,2,8,4.0,906.2499999999995,0.6041666666666664,0.8333333333333334,0.22916666666666696
pep_c,C3H2O6P,3,10,3.3333333333333335,f6p_c,C6H11O9P,6,24,4.0,311.1111111111112,0.6222222222222225,0.8333333333333334,0.21111111111111092
pep_c,C3H2O6P,3,10,3.3333333333333335,g6p_c,C6H11O9P,6,24,4.0,311.11111111111114,0.6222222222222222,0.8333333333333334,0.21111111111111114
pep_c,C3H2O6P,3,10,3.3333333333333335,g3p_c,C3H5O6P,3,12,4.0,833.3333333333336,0.8333333333333336,0.8333333333333334,-2.220446049250313e-16
pep_c,C3H2O6P,3,10,3.3333333333333335,succoa_c,C25H35N7O19P3S,4,14,3.5,425.31645569620287,0.5670886075949371,0.9523809523809524,0.3852923447860154
r5p_c,C5H9O8P,5,20,4.0,e4p_c,C4H7O7P,4,16,4.0,1000.0,0.9999999999999997,1.0,3.3306690738754696e-16
r5p_c,C5H9O8P,5,20,4.0,pep_c,C3H2O6P,3,10,3.3333333333333335,1000.0,0.75,1.2,0.44999999999999996
r5p_c,C5H9O8P,5,20,4.0,oaa_c,C4H2O5,4,10,2.5,772.4458204334378,0.6179566563467502,1.6,0.9820433436532499
r5p_c,C5H9O8P,5,20,4.0,3pg_c,C3H4O7P,3,10,3.3333333333333335,1000.0,0.7499999999999994,1.2,0.4500000000000005
r5p_c,C5H9O8P,5,20,4.0,pyr_c,C3H3O3,3,10,3.3333333333333335,1000.0,0.6,1.2,0.6
r5p_c,C5H9O8P,5,20,4.0,akg_c,C5H4O5,5,16,3.2,636.0739324410456,0.6360739324410456,1.25,0.6139260675589544
r5p_c,C5H9O8P,5,20,4.0,accoa_c,C23H34N7O17P3S,2,8,4.0,1000.0,0.6666666666666667,1.0,0.33333333333333326
r5p_c,C5H9O8P,5,20,4.0,f6p_c,C6H11O9P,6,24,4.0,797.6442873969378,0.9571731448763254,1.0,0.04282685512367457
r5p_c,C5H9O8P,5,20,4.0,g6p_c,C6H11O9P,6,24,4.0,797.6442873969376,0.9571731448763251,1.0,0.0428268551236749
r5p_c,C5H9O8P,5,20,4.0,g3p_c,C3H5O6P,3,12,4.0,1000.0,0.9999999999999998,1.0,2.220446049250313e-16
r5p_c,C5H9O8P,5,20,4.0,succoa_c,C25H35N7O19P3S,4,14,3.5,842.1940928270046,0.6737552742616038,1.1428571428571428,0.46910186859553904
oaa_c,C4H2O5,4,10,2.5,e4p_c,C4H7O7P,4,16,4.0,459.75479744136413,0.45975479744136416,0.625,0.16524520255863584
oaa_c,C4H2O5,4,10,2.5,pep_c,C3H2O6P,3,10,3.3333333333333335,705.5214723926376,0.5291411042944782,0.75,0.22085889570552175
oaa_c,C4H2O5,4,10,2.5,r5p_c,C5H9O8P,5,20,4.0,377.4617067833698,0.4718271334792122,0.625,0.15317286652078782
oaa_c,C4H2O5,4,10,2.5,3pg_c,C3H4O7P,3,10,3.3333333333333335,705.5214723926375,0.5291411042944781,0.75,0.22085889570552186
oaa_c,C4H2O5,4,10,2.5,pyr_c,C3H3O3,3,10,3.3333333333333335,1000.0,0.7499999999999951,0.75,4.884981308350689e-15
oaa_c,C4H2O5,4,10,2.5,akg_c,C5H4O5,5,16,3.2,625.0000000000002,0.7812500000000002,0.78125,-2.220446049250313e-16
oaa_c,C4H2O5,4,10,2.5,accoa_c,C23H34N7O17P3S,2,8,4.0,1000.0,0.6205128205128205,0.625,0.004487179487179471
oaa_c,C4H2O5,4,10,2.5,f6p_c,C6H11O9P,6,24,4.0,320.15590200445416,0.4802338530066812,0.625,0.1447661469933188
oaa_c,C4H2O5,4,10,2.5,g6p_c,C6H11O9P,6,24,4.0,320.1559020044548,0.4802338530066822,0.625,0.1447661469933178
oaa_c,C4H2O5,4,10,2.5,g3p_c,C3H5O6P,3,12,4.0,587.9345603271943,0.4409509202453957,0.625,0.18404907975460427
oaa_c,C4H2O5,4,10,2.5,succoa_c,C25H35N7O19P3S,4,14,3.5,714.2857142857146,0.7142857142857145,0.7142857142857143,-2.220446049250313e-16
3pg_c,C3H4O7P,3,10,3.3333333333333335,e4p_c,C4H7O7P,4,16,4.0,545.454545454545,0.7272727272727267,0.8333333333333334,0.10606060606060663
3pg_c,C3H4O7P,3,10,3.3333333333333335,pep_c,C3H2O6P,3,10,3.3333333333333335,1000.0,1.0000000000000004,1.0,-4.440892098500626e-16
3pg_c,C3H4O7P,3,10,3.3333333333333335,r5p_c,C5H9O8P,5,20,4.0,396.22641509433953,0.6603773584905658,0.8333333333333334,0.1729559748427676
3pg_c,C3H4O7P,3,10,3.3333333333333335,oaa_c,C4H2O5,4,10,2.5,390.09287925696594,0.5201238390092879,1.3333333333333335,0.8132094943240455
3pg_c,C3H4O7P,3,10,3.3333333333333335,pyr_c,C3H3O3,3,10,3.3333333333333335,549.0196078431374,0.5490196078431373,1.0,0.4509803921568627
3pg_c,C3H4O7P,3,10,3.3333333333333335,akg_c,C5H4O5,5,16,3.2,321.2237093690246,0.5353728489483743,1.0416666666666667,0.5062938177182924
