substrate,formula,Cs,reduction degree,Crd,product,formula,Cp,reduction degree,Crd,rate,path yield,rdyield,difference
e4p_c,C4H7O7P,4,16,4.0,pep_c,C3H2O6P,3,10,3.3333333333333335,682.459259259259,0.5118444444444443,1.2,0.6881555555555556
e4p_c,C4H7O7P,4,16,4.0,r5p_c,C5H9O8P,5,20,4.0,737.2105263157894,0.9215131578947366,1.0,0.07848684210526335
e4p_c,C4H7O7P,4,16,4.0,oaa_c,C4H2O5,4,10,2.5,522.0579710144933,0.5220579710144934,1.6,1.0779420289855066
e4p_c,C4H7O7P,4,16,4.0,3pg_c,C3H4O7P,3,10,3.3333333333333335,682.4592592592594,0.5118444444444445,1.2,0.6881555555555554
e4p_c,C4H7O7P,4,16,4.0,pyr_c,C3H3O3,3,10,3.3333333333333335,682.4592592592589,0.5118444444444442,1.2,0.6881555555555557
e4p_c,C4H7O7P,4,16,4.0,akg_c,C5H4O5,5,16,3.2,229.18407960199033,0.28648009950248793,1.25,0.9635199004975121
e4p_c,C4H7O7P,4,16,4.0,accoa_c,C23H34N7O17P3S,2,8,4.0,455.7566137566137,0.22787830687830685,1.0,0.7721216931216932
e4p_c,C4H7O7P,4,16,4.0,f6p_c,C6H11O9P,6,24,4.0,583.6249999999997,0.8754374999999995,1.0,0.12456250000000046
e4p_c,C4H7O7P,4,16,4.0,g6p_c,C6H11O9P,6,24,4.0,583.6249999999998,0.8754374999999996,1.0,0.12456250000000035
e4p_c,C4H7O7P,4,16,4.0,g3p_c,C3H5O6P,3,12,4.0,1000.0,0.7500000000000008,1.0,0.24999999999999922
pep_c,C3H2O6P,3,10,3.3333333333333335,e4p_c,C4H7O7P,4,16,4.0,1.2142857142857164,0.5396825396825391,0.8333333333333334,0.2936507936507943
pep_c,C3H2O6P,3,10,3.3333333333333335,r5p_c,C5H9O8P,5,20,4.0,0.8947368421052627,0.4970760233918115,0.8333333333333334,0.33625730994152186
pep_c,C3H2O6P,3,10,3.3333333333333335,oaa_c,C4H2O5,4,10,2.5,3.9230769230769162,0.44444444444444836,1.3333333333333335,0.8888888888888851
pep_c,C3H2O6P,3,10,3.3333333333333335,3pg_c,C3H4O7P,3,10,3.3333333333333335,3.3333333333333277,0.5769230769230786,1.0,0.42307692307692135
pep_c,C3H2O6P,3,10,3.3333333333333335,pyr_c,C3H3O3,3,10,3.3333333333333335,2.8333333333333286,0.485714285714285,1.0,0.514285714285715
pep_c,C3H2O6P,3,10,3.3333333333333335,akg_c,C5H4O5,5,16,3.2,2.3999999999999932,0.5000000000000016,1.0416666666666667,0.5416666666666652
pep_c,C3H2O6P,3,10,3.3333333333333335,accoa_c,C23H34N7O17P3S,2,8,4.0,2.2941176470588065,0.2888888888888887,0.8333333333333334,0.5444444444444447
pep_c,C3H2O6P,3,10,3.3333333333333335,f6p_c,C6H11O9P,6,24,4.0,0.7083333333333328,0.47222222222222127,0.8333333333333334,0.3611111111111121
pep_c,C3H2O6P,3,10,3.3333333333333335,g6p_c,C6H11O9P,6,24,4.0,0.7083333333333337,0.4722222222222216,0.8333333333333334,0.36111111111111177
pep_c,C3H2O6P,3,10,3.3333333333333335,g3p_c,C3H5O6P,3,12,4.0,1.8888888888888884,0.6296296296296291,0.8333333333333334,0.20370370370370428
r5p_c,C5H9O8P,5,20,4.0,e4p_c,C4H7O7P,4,16,4.0,1000.0,0.8,1.0,0.19999999999999996
r5p_c,C5H9O8P,5,20,4.0,pep_c,C3H2O6P,3,10,3.3333333333333335,852.8296296296309,0.5116977777777785,1.2,0.6883022222222215
r5p_c,C5H9O8P,5,20,4.0,oaa_c,C4H2O5,4,10,2.5,652.4927536231884,0.5219942028985507,1.6,1.0780057971014494
r5p_c,C5H9O8P,5,20,4.0,3pg_c,C3H4O7P,3,10,3.3333333333333335,852.8296296296293,0.5116977777777776,1.2,0.6883022222222224
r5p_c,C5H9O8P,5,20,4.0,pyr_c,C3H3O3,3,10,3.3333333333333335,852.8296296296296,0.5116977777777778,1.2,0.6883022222222221
r5p_c,C5H9O8P,5,20,4.0,akg_c,C5H4O5,5,16,3.2,286.3980099502482,0.2863980099502482,1.25,0.9636019900497518
r5p_c,C5H9O8P,5,20,4.0,accoa_c,C23H34N7O17P3S,2,8,4.0,572.7960199004976,0.22911840796019906,1.0,0.7708815920398009
r5p_c,C5H9O8P,5,20,4.0,f6p_c,C6H11O9P,6,24,4.0,791.9583333333348,0.9503500000000018,1.0,0.049649999999998196
r5p_c,C5H9O8P,5,20,4.0,g6p_c,C6H11O9P,6,24,4.0,791.9583333333333,0.95035,1.0,0.04964999999999997
r5p_c,C5H9O8P,5,20,4.0,g3p_c,C3H5O6P,3,12,4.0,1000.0,0.6,1.0,0.4
oaa_c,C4H2O5,4,10,2.5,e4p_c,C4H7O7P,4,16,4.0,0.999999999999998,0.5405405405405379,0.625,0.0844594594594621
oaa_c,C4H2O5,4,10,2.5,pep_c,C3H2O6P,3,10,3.3333333333333335,1.0,0.75,0.75,0.0
oaa_c,C4H2O5,4,10,2.5,r5p_c,C5H9O8P,5,20,4.0,0.9999999999999929,0.499999999999997,0.625,0.125000000000003
oaa_c,C4H2O5,4,10,2.5,3pg_c,C3H4O7P,3,10,3.3333333333333335,1.0000000000000007,0.75,0.75,0.0
oaa_m,C4H2O5,4,10,2.5,pyr_m,C3H3O3,3,10,3.3333333333333335,3.999999999999998,0.7258064516129031,0.75,0.024193548387096864
oaa_c,C4H2O5,4,10,2.5,pyr_c,C3H3O3,3,10,3.3333333333333335,3.9999999999999996,0.7499999999999999,0.75,1.1102230246251565e-16
oaa_m,C4H2O5,4,10,2.5,akg_m,C5H4O5,5,16,3.2,4.000000000000005,0.3124999999999999,0.78125,0.4687500000000001
oaa_c,C4H2O5,4,10,2.5,akg_c,C5H4O5,5,16,3.2,3.999999999999993,0.3125,0.78125,0.46875
