substrate,formula,Cs,reduction degree,Crd,product,formula,Cp,reduction degree,Crd,rate,path yield,rdyield,difference
e4p_c,C4H7O7P,4,16,4.0,pep_c,C3H2O6P,3,10,3.3333333333333335,682.4592592592592,0.5118444444444443,1.2,0.6881555555555556
e4p_c,C4H7O7P,4,16,4.0,r5p_c,C5H9O8P,5,20,4.0,737.2105263157894,0.9215131578947366,1.0,0.07848684210526335
e4p_c,C4H7O7P,4,16,4.0,oaa_c,C4H2O5,4,10,2.5,522.0579710144925,0.5220579710144925,1.6,1.0779420289855075
e4p_c,C4H7O7P,4,16,4.0,3pg_c,C3H4O7P,3,10,3.3333333333333335,682.4592592592589,0.5118444444444442,1.2,0.6881555555555557
e4p_c,C4H7O7P,4,16,4.0,pyr_c,C3H3O3,3,10,3.3333333333333335,682.4592592592594,0.5118444444444445,1.2,0.6881555555555554
e4p_c,C4H7O7P,4,16,4.0,akg_c,C5H4O5,5,16,3.2,229.18407960199013,0.2864800995024877,1.25,0.9635199004975123
e4p_c,C4H7O7P,4,16,4.0,accoa_c,C23H34N7O17P3S,2,8,4.0,455.7566137566135,0.22787830687830674,1.0,0.7721216931216932
e4p_c,C4H7O7P,4,16,4.0,f6p_c,C6H11O9P,6,24,4.0,583.625,0.8754375,1.0,0.12456250000000002
e4p_c,C4H7O7P,4,16,4.0,g6p_c,C6H11O9P,6,24,4.0,583.6250000000003,0.8754375000000004,1.0,0.12456249999999958
e4p_c,C4H7O7P,4,16,4.0,g3p_c,C3H5O6P,3,12,4.0,1000.0,0.75,1.0,0.25
pep_c,C3H2O6P,3,10,3.3333333333333335,e4p_c,C4H7O7P,4,16,4.0,1.2142857142857149,0.5396825396825393,0.8333333333333334,0.29365079365079405
pep_c,C3H2O6P,3,10,3.3333333333333335,r5p_c,C5H9O8P,5,20,4.0,0.8947368421052624,0.49707602339181284,0.8333333333333334,0.33625730994152053
pep_c,C3H2O6P,3,10,3.3333333333333335,oaa_c,C4H2O5,4,10,2.5,3.923076923076923,0.44444444444444214,1.3333333333333335,0.8888888888888913
pep_c,C3H2O6P,3,10,3.3333333333333335,3pg_c,C3H4O7P,3,10,3.3333333333333335,3.3333333333333224,0.5769230769230819,1.0,0.42307692307691813
pep_c,C3H2O6P,3,10,3.3333333333333335,pyr_c,C3H3O3,3,10,3.3333333333333335,2.8333333333333375,0.48571428571428565,1.0,0.5142857142857143
pep_c,C3H2O6P,3,10,3.3333333333333335,akg_c,C5H4O5,5,16,3.2,2.3999999999999972,0.4999999999999996,1.0416666666666667,0.5416666666666672
pep_c,C3H2O6P,3,10,3.3333333333333335,accoa_c,C23H34N7O17P3S,2,8,4.0,2.294117647058825,0.28888888888888714,0.8333333333333334,0.5444444444444463
pep_c,C3H2O6P,3,10,3.3333333333333335,f6p_c,C6H11O9P,6,24,4.0,0.7083333333333369,0.47222222222222054,0.8333333333333334,0.3611111111111128
pep_c,C3H2O6P,3,10,3.3333333333333335,g6p_c,C6H11O9P,6,24,4.0,0.7083333333333339,0.47222222222222165,0.8333333333333334,0.3611111111111117
pep_c,C3H2O6P,3,10,3.3333333333333335,g3p_c,C3H5O6P,3,12,4.0,1.8888888888888886,0.6296296296296299,0.8333333333333334,0.2037037037037035
r5p_c,C5H9O8P,5,20,4.0,e4p_c,C4H7O7P,4,16,4.0,1000.0,0.8,1.0,0.19999999999999996
r5p_c,C5H9O8P,5,20,4.0,pep_c,C3H2O6P,3,10,3.3333333333333335,852.8296296296295,0.5116977777777777,1.2,0.6883022222222223
r5p_c,C5H9O8P,5,20,4.0,oaa_c,C4H2O5,4,10,2.5,652.4927536231879,0.5219942028985504,1.6,1.0780057971014498
r5p_c,C5H9O8P,5,20,4.0,3pg_c,C3H4O7P,3,10,3.3333333333333335,852.8296296296295,0.5116977777777777,1.2,0.6883022222222223
r5p_c,C5H9O8P,5,20,4.0,pyr_c,C3H3O3,3,10,3.3333333333333335,852.8296296296277,0.5116977777777767,1.2,0.6883022222222233
r5p_c,C5H9O8P,5,20,4.0,akg_c,C5H4O5,5,16,3.2,286.39800995024825,0.2863980099502483,1.25,0.9636019900497517
r5p_c,C5H9O8P,5,20,4.0,accoa_c,C23H34N7O17P3S,2,8,4.0,572.7960199004974,0.22911840796019897,1.0,0.770881592039801
r5p_c,C5H9O8P,5,20,4.0,f6p_c,C6H11O9P,6,24,4.0,791.9583333333331,0.9503499999999998,1.0,0.049650000000000194
r5p_c,C5H9O8P,5,20,4.0,g6p_c,C6H11O9P,6,24,4.0,791.9583333333328,0.9503499999999993,1.0,0.04965000000000075
r5p_c,C5H9O8P,5,20,4.0,g3p_c,C3H5O6P,3,12,4.0,1000.0,0.6,1.0,0.4
oaa_c,C4H2O5,4,10,2.5,e4p_c,C4H7O7P,4,16,4.0,1.0000000000000007,0.540540540540541,0.625,0.08445945945945899
oaa_c,C4H2O5,4,10,2.5,pep_c,C3H2O6P,3,10,3.3333333333333335,1.0000000000000002,0.75,0.75,0.0
oaa_c,C4H2O5,4,10,2.5,r5p_c,C5H9O8P,5,20,4.0,0.9999999999999992,0.4999999999999999,0.625,0.1250000000000001
oaa_c,C4H2O5,4,10,2.5,3pg_c,C3H4O7P,3,10,3.3333333333333335,1.0000000000000002,0.75,0.75,0.0
oaa_m,C4H2O5,4,10,2.5,pyr_m,C3H3O3,3,10,3.3333333333333335,3.999999999999999,0.7258064516129032,0.75,0.024193548387096753
oaa_c,C4H2O5,4,10,2.5,pyr_c,C3H3O3,3,10,3.3333333333333335,3.9999999999999973,0.75,0.75,0.0
oaa_m,C4H2O5,4,10,2.5,akg_m,C5H4O5,5,16,3.2,4.0000000000000036,0.31249999999999994,0.78125,0.46875000000000006
oaa_c,C4H2O5,4,10,2.5,akg_c,C5H4O5,5,16,3.2,3.999999999999936,0.35714285714286026,0.78125,0.42410714285713974
oaa_m,C4H2O5,4,10,2.5,accoa_m,C23H34N7O17P3S,2,8,4.0,4.0,0.2499999999999999,0.625,0.3750000000000001
