substrate,formula,Cs,reduction degree,Crd,product,formula,Cp,reduction degree,Crd,rate,path yield,rdyield,difference
e4p_c,C4H7O7P,4,16,4.0,pep_c,C3H2O6P,3,10,3.3333333333333335,682.4592592592594,0.5118444444444445,1.2,0.6881555555555554
e4p_c,C4H7O7P,4,16,4.0,r5p_c,C5H9O8P,5,20,4.0,737.2105263157894,0.9215131578947366,1.0,0.07848684210526335
e4p_c,C4H7O7P,4,16,4.0,oaa_c,C4H2O5,4,10,2.5,522.0579710144931,0.5220579710144931,1.6,1.077942028985507
e4p_c,C4H7O7P,4,16,4.0,3pg_c,C3H4O7P,3,10,3.3333333333333335,682.4592592592588,0.5118444444444441,1.2,0.6881555555555559
e4p_c,C4H7O7P,4,16,4.0,pyr_c,C3H3O3,3,10,3.3333333333333335,682.4592592592594,0.5118444444444445,1.2,0.6881555555555554
e4p_c,C4H7O7P,4,16,4.0,akg_c,C5H4O5,5,16,3.2,229.18407960198974,0.28648009950248715,1.25,0.9635199004975128
e4p_c,C4H7O7P,4,16,4.0,accoa_c,C23H34N7O17P3S,2,8,4.0,455.756613756614,0.227878306878307,1.0,0.772121693121693
e4p_c,C4H7O7P,4,16,4.0,f6p_c,C6H11O9P,6,24,4.0,583.6250000000024,0.8754375000000036,1.0,0.12456249999999636
e4p_c,C4H7O7P,4,16,4.0,g6p_c,C6H11O9P,6,24,4.0,583.6249999999998,0.8754374999999996,1.0,0.12456250000000035
e4p_c,C4H7O7P,4,16,4.0,g3p_c,C3H5O6P,3,12,4.0,1000.0,0.75,1.0,0.25
pep_c,C3H2O6P,3,10,3.3333333333333335,e4p_c,C4H7O7P,4,16,4.0,1.214285714285714,0.5396825396825394,0.8333333333333334,0.29365079365079394
pep_c,C3H2O6P,3,10,3.3333333333333335,r5p_c,C5H9O8P,5,20,4.0,0.8947368421052635,0.49707602339181206,0.8333333333333334,0.3362573099415213
pep_c,C3H2O6P,3,10,3.3333333333333335,oaa_c,C4H2O5,4,10,2.5,3.9230769230769127,0.4444444444444448,1.3333333333333335,0.8888888888888886
pep_c,C3H2O6P,3,10,3.3333333333333335,3pg_c,C3H4O7P,3,10,3.3333333333333335,3.3333333333333317,0.5769230769230771,1.0,0.4230769230769229
pep_c,C3H2O6P,3,10,3.3333333333333335,pyr_c,C3H3O3,3,10,3.3333333333333335,2.8333333333333335,0.48571428571428504,1.0,0.5142857142857149
pep_c,C3H2O6P,3,10,3.3333333333333335,akg_c,C5H4O5,5,16,3.2,2.400000000000002,0.49999999999999944,1.0416666666666667,0.5416666666666673
pep_c,C3H2O6P,3,10,3.3333333333333335,accoa_c,C23H34N7O17P3S,2,8,4.0,2.294117647058817,0.2888888888888904,0.8333333333333334,0.544444444444443
pep_c,C3H2O6P,3,10,3.3333333333333335,f6p_c,C6H11O9P,6,24,4.0,0.7083333333333331,0.47222222222222177,0.8333333333333334,0.3611111111111116
pep_c,C3H2O6P,3,10,3.3333333333333335,g6p_c,C6H11O9P,6,24,4.0,0.7083333333333326,0.47222222222222193,0.8333333333333334,0.36111111111111144
pep_c,C3H2O6P,3,10,3.3333333333333335,g3p_c,C3H5O6P,3,12,4.0,1.8888888888888886,0.6296296296296298,0.8333333333333334,0.2037037037037036
r5p_c,C5H9O8P,5,20,4.0,e4p_c,C4H7O7P,4,16,4.0,1000.0,0.8,1.0,0.19999999999999996
r5p_c,C5H9O8P,5,20,4.0,pep_c,C3H2O6P,3,10,3.3333333333333335,852.8296296296309,0.5116977777777785,1.2,0.6883022222222215
r5p_c,C5H9O8P,5,20,4.0,oaa_c,C4H2O5,4,10,2.5,652.4927536231886,0.5219942028985508,1.6,1.0780057971014494
r5p_c,C5H9O8P,5,20,4.0,3pg_c,C3H4O7P,3,10,3.3333333333333335,852.8296296296297,0.5116977777777778,1.2,0.6883022222222221
r5p_c,C5H9O8P,5,20,4.0,pyr_c,C3H3O3,3,10,3.3333333333333335,852.8296296296295,0.5116977777777777,1.2,0.6883022222222223
r5p_c,C5H9O8P,5,20,4.0,akg_c,C5H4O5,5,16,3.2,286.3980099502487,0.2863980099502487,1.25,0.9636019900497512
r5p_c,C5H9O8P,5,20,4.0,accoa_c,C23H34N7O17P3S,2,8,4.0,572.7960199004989,0.22911840796019955,1.0,0.7708815920398004
r5p_c,C5H9O8P,5,20,4.0,f6p_c,C6H11O9P,6,24,4.0,791.958333333333,0.9503499999999997,1.0,0.049650000000000305
r5p_c,C5H9O8P,5,20,4.0,g6p_c,C6H11O9P,6,24,4.0,791.9583333333334,0.95035,1.0,0.04964999999999997
r5p_c,C5H9O8P,5,20,4.0,g3p_c,C3H5O6P,3,12,4.0,1000.0,0.6,1.0,0.4
oaa_c,C4H2O5,4,10,2.5,e4p_c,C4H7O7P,4,16,4.0,1.0000000000000018,0.5405405405405403,0.625,0.08445945945945965
oaa_c,C4H2O5,4,10,2.5,pep_c,C3H2O6P,3,10,3.3333333333333335,1.0,0.75,0.75,0.0
oaa_c,C4H2O5,4,10,2.5,r5p_c,C5H9O8P,5,20,4.0,1.0000000000000002,0.5000000000000002,0.625,0.12499999999999978
oaa_c,C4H2O5,4,10,2.5,3pg_c,C3H4O7P,3,10,3.3333333333333335,1.0000000000000009,0.75,0.75,0.0
oaa_m,C4H2O5,4,10,2.5,pyr_m,C3H3O3,3,10,3.3333333333333335,4.0,0.7258064516129034,0.75,0.02419354838709664
oaa_c,C4H2O5,4,10,2.5,pyr_c,C3H3O3,3,10,3.3333333333333335,3.9999999999999973,0.7500000000000002,0.75,-2.220446049250313e-16
oaa_m,C4H2O5,4,10,2.5,akg_m,C5H4O5,5,16,3.2,3.9999999999999973,0.3125,0.78125,0.46875
oaa_c,C4H2O5,4,10,2.5,akg_c,C5H4O5,5,16,3.2,3.9999999999999156,0.3571428571428599,0.78125,0.4241071428571401
oaa_m,C4H2O5,4,10,2.5,accoa_m,C23H34N7O17P3S,2,8,4.0,3.999999999999999,0.2500000000000001,0.625,0.3749999999999999
oaa_c,C4H2O5,4,10,2.5,accoa_c,C23H34N7O17P3S,2,8,4.0,3.9999999999999973,0.25000000000000006,0.625,0.37499999999999994
oaa_c,C4H2O5,4,10,2.5,f6p_c,C6H11O9P,6,24,4.0,0.7999999999999986,0.5172413793103446,0.625,0.10775862068965536
oaa_c,C4H2O5,4,10,2.5,g6p_c,C6H11O9P,6,24,4.0,0.7999999999999996,0.5172413793103479,0.625,0.10775862068965214
oaa_c,C4H2O5,4,10,2.5,g3p_c,C3H5O6P,3,12,4.0,0.9999999999999994,0.6249999999999998,0.625,2.220446049250313e-16
oaa_m,C4H2O5,4,10,2.5,succoa_m,C25H35N7O19P3S,4,14,3.5,4.000000000000006,0.7142857142857143,0.7142857142857143,0.0
3pg_c,C3H4O7P,3,10,3.3333333333333335,e4p_c,C4H7O7P,4,16,4.0,108.21428571428484,0.14428571428571343,0.8333333333333334,0.6890476190476199
3pg_c,C3H4O7P,3,10,3.3333333333333335,pep_c,C3H2O6P,3,10,3.3333333333333335,1000.0,1.0,1.0,0.0
3pg_c,C3H4O7P,3,10,3.3333333333333335,r5p_c,C5H9O8P,5,20,4.0,79.73684210526244,0.1328947368421047,0.8333333333333334,0.7004385964912286
3pg_c,C3H4O7P,3,10,3.3333333333333335,oaa_c,C4H2O5,4,10,2.5,202.0000000000011,0.2693333333333331,1.3333333333333335,1.0640000000000005
