substrate,formula,Cs,reduction degree,Crd,product,formula,Cp,reduction degree,Crd,rate,path yield,rdyield,difference
e4p_c,C4H7O7P,4,16,4.0,pep_c,C3H2O6P,3,10,3.3333333333333335,682.45925925926,0.511844444444445,1.2,0.688155555555555
e4p_c,C4H7O7P,4,16,4.0,r5p_c,C5H9O8P,5,20,4.0,737.2105263157896,0.921513157894737,1.0,0.07848684210526302
e4p_c,C4H7O7P,4,16,4.0,oaa_c,C4H2O5,4,10,2.5,522.0579710144929,0.5220579710144929,1.6,1.077942028985507
e4p_c,C4H7O7P,4,16,4.0,3pg_c,C3H4O7P,3,10,3.3333333333333335,682.4592592592593,0.5118444444444444,1.2,0.6881555555555555
e4p_c,C4H7O7P,4,16,4.0,pyr_c,C3H3O3,3,10,3.3333333333333335,682.4592592592594,0.5118444444444445,1.2,0.6881555555555554
e4p_c,C4H7O7P,4,16,4.0,akg_c,C5H4O5,5,16,3.2,229.18407960198977,0.28648009950248715,1.25,0.9635199004975128
e4p_c,C4H7O7P,4,16,4.0,accoa_c,C23H34N7O17P3S,2,8,4.0,455.75661375661383,0.2278783068783069,1.0,0.7721216931216931
e4p_c,C4H7O7P,4,16,4.0,f6p_c,C6H11O9P,6,24,4.0,583.6249999999998,0.8754374999999996,1.0,0.12456250000000035
e4p_c,C4H7O7P,4,16,4.0,g6p_c,C6H11O9P,6,24,4.0,583.6249999999998,0.8754374999999996,1.0,0.12456250000000035
e4p_c,C4H7O7P,4,16,4.0,g3p_c,C3H5O6P,3,12,4.0,1000.0,0.75,1.0,0.25
pep_c,C3H2O6P,3,10,3.3333333333333335,e4p_c,C4H7O7P,4,16,4.0,1.2142857142857129,0.5396825396825392,0.8333333333333334,0.29365079365079416
pep_c,C3H2O6P,3,10,3.3333333333333335,r5p_c,C5H9O8P,5,20,4.0,0.8947368421052646,0.49707602339181206,0.8333333333333334,0.3362573099415213
pep_c,C3H2O6P,3,10,3.3333333333333335,oaa_c,C4H2O5,4,10,2.5,3.9230769230769207,0.44444444444444503,1.3333333333333335,0.8888888888888884
pep_c,C3H2O6P,3,10,3.3333333333333335,3pg_c,C3H4O7P,3,10,3.3333333333333335,3.3333333333333304,0.5769230769230766,1.0,0.42307692307692335
pep_c,C3H2O6P,3,10,3.3333333333333335,pyr_c,C3H3O3,3,10,3.3333333333333335,2.833333333333338,0.4857142857142852,1.0,0.5142857142857148
pep_c,C3H2O6P,3,10,3.3333333333333335,akg_c,C5H4O5,5,16,3.2,2.399999999999995,0.4999999999999996,1.0416666666666667,0.5416666666666672
pep_c,C3H2O6P,3,10,3.3333333333333335,accoa_c,C23H34N7O17P3S,2,8,4.0,2.2941176470588203,0.28888888888888814,0.8333333333333334,0.5444444444444452
pep_c,C3H2O6P,3,10,3.3333333333333335,f6p_c,C6H11O9P,6,24,4.0,0.7083333333333334,0.47222222222222154,0.8333333333333334,0.3611111111111118
pep_c,C3H2O6P,3,10,3.3333333333333335,g6p_c,C6H11O9P,6,24,4.0,0.7083333333333316,0.472222222222222,0.8333333333333334,0.3611111111111114
pep_c,C3H2O6P,3,10,3.3333333333333335,g3p_c,C3H5O6P,3,12,4.0,1.8888888888888884,0.62962962962963,0.8333333333333334,0.2037037037037034
r5p_c,C5H9O8P,5,20,4.0,e4p_c,C4H7O7P,4,16,4.0,1000.0,0.8,1.0,0.19999999999999996
r5p_c,C5H9O8P,5,20,4.0,pep_c,C3H2O6P,3,10,3.3333333333333335,852.8296296296292,0.5116977777777775,1.2,0.6883022222222225
r5p_c,C5H9O8P,5,20,4.0,oaa_c,C4H2O5,4,10,2.5,652.4927536231883,0.5219942028985506,1.6,1.0780057971014494
r5p_c,C5H9O8P,5,20,4.0,3pg_c,C3H4O7P,3,10,3.3333333333333335,852.8296296296295,0.5116977777777777,1.2,0.6883022222222223
