substrate,formula,Cs,reduction degree,Crd,product,formula,Cp,reduction degree,Crd,rate,path yield,rdyield,difference
e4p_c,C4H7O7P,4,16,4.0,pep_c,C3H2O6P,3,10,3.3333333333333335,1000.0,0.8372093023255778,1.2,0.3627906976744222
e4p_c,C4H7O7P,4,16,4.0,r5p_c,C5H9O8P,5,20,4.0,799.9999999999997,0.9999999999999996,1.0,4.440892098500626e-16
e4p_c,C4H7O7P,4,16,4.0,oaa_c,C4H2O5,4,10,2.5,576.9230769230724,0.5769230769230723,1.6,1.0230769230769279
e4p_c,C4H7O7P,4,16,4.0,3pg_c,C3H4O7P,3,10,3.3333333333333335,1000.0,0.75,1.2,0.44999999999999996
e4p_c,C4H7O7P,4,16,4.0,pyr_c,C3H3O3,3,10,3.3333333333333335,1000.0,0.75,1.2,0.44999999999999996
e4p_c,C4H7O7P,4,16,4.0,akg_c,C5H4O5,5,16,3.2,614.6788990825679,0.7683486238532099,1.25,0.4816513761467901
e4p_c,C4H7O7P,4,16,4.0,accoa_c,C23H34N7O17P3S,2,8,4.0,1000.0,0.9999999999999934,1.0,6.5503158452884236e-15
e4p_c,C4H7O7P,4,16,4.0,f6p_c,C6H11O9P,6,24,4.0,666.6666666666666,1.0,1.0,0.0
e4p_c,C4H7O7P,4,16,4.0,g6p_c,C6H11O9P,6,24,4.0,666.6666666666666,1.0,1.0,0.0
e4p_c,C4H7O7P,4,16,4.0,g3p_c,C3H5O6P,3,12,4.0,1000.0,0.75,1.0,0.25
pep_c,C3H2O6P,3,10,3.3333333333333335,e4p_c,C4H7O7P,4,16,4.0,449.9999999999997,0.5999999999999996,0.8333333333333334,0.23333333333333373
pep_c,C3H2O6P,3,10,3.3333333333333335,r5p_c,C5H9O8P,5,20,4.0,359.99999999999943,0.5999999999999991,0.8333333333333334,0.23333333333333428
pep_c,C3H2O6P,3,10,3.3333333333333335,oaa_c,C4H2O5,4,10,2.5,499.9999999999998,0.6666666666666664,1.3333333333333335,0.6666666666666671
pep_c,C3H2O6P,3,10,3.3333333333333335,3pg_c,C3H4O7P,3,10,3.3333333333333335,1000.0,1.0,1.0,0.0
pep_c,C3H2O6P,3,10,3.3333333333333335,pyr_c,C3H3O3,3,10,3.3333333333333335,1000.0,1.0,1.0,0.0
pep_c,C3H2O6P,3,10,3.3333333333333335,akg_c,C5H4O5,5,16,3.2,599.9999999999998,0.9999999999999997,1.0416666666666667,0.041666666666667074
pep_c,C3H2O6P,3,10,3.3333333333333335,accoa_c,C23H34N7O17P3S,2,8,4.0,1000.0,0.7999999999999999,0.8333333333333334,0.03333333333333344
pep_c,C3H2O6P,3,10,3.3333333333333335,f6p_c,C6H11O9P,6,24,4.0,299.99999999999983,0.5999999999999996,0.8333333333333334,0.23333333333333373
pep_c,C3H2O6P,3,10,3.3333333333333335,g6p_c,C6H11O9P,6,24,4.0,299.9999999999996,0.5999999999999992,0.8333333333333334,0.23333333333333417
pep_c,C3H2O6P,3,10,3.3333333333333335,g3p_c,C3H5O6P,3,12,4.0,599.9999999999983,0.5999999999999983,0.8333333333333334,0.23333333333333506
r5p_c,C5H9O8P,5,20,4.0,e4p_c,C4H7O7P,4,16,4.0,1000.0,0.9999999999999999,1.0,1.1102230246251565e-16
r5p_c,C5H9O8P,5,20,4.0,pep_c,C3H2O6P,3,10,3.3333333333333335,1000.0,1.000000000000005,1.2,0.19999999999999485
r5p_c,C5H9O8P,5,20,4.0,oaa_c,C4H2O5,4,10,2.5,653.8461538461544,0.5230769230769236,1.6,1.0769230769230766
