substrate,formula,Cs,reduction degree,Crd,product,formula,Cp,reduction degree,Crd,rate,path yield,rdyield,difference
e4p_c,C4H7O7P,4,16,4.0,pep_c,C3H2O6P,3,10,3.3333333333333335,1000.0,0.75,1.2,0.44999999999999996
e4p_c,C4H7O7P,4,16,4.0,r5p_c,C5H9O8P,5,20,4.0,799.9999999999999,0.9999999999999999,1.0,1.1102230246251565e-16
e4p_c,C4H7O7P,4,16,4.0,oaa_c,C4H2O5,4,10,2.5,605.7142857142865,0.6057142857142864,1.6,0.9942857142857137
e4p_c,C4H7O7P,4,16,4.0,3pg_c,C3H4O7P,3,10,3.3333333333333335,1000.0,0.75,1.2,0.44999999999999996
e4p_c,C4H7O7P,4,16,4.0,pyr_c,C3H3O3,3,10,3.3333333333333335,1000.0,0.75,1.2,0.44999999999999996
e4p_c,C4H7O7P,4,16,4.0,akg_c,C5H4O5,5,16,3.2,605.714285714289,0.7571428571428612,1.25,0.4928571428571388
e4p_c,C4H7O7P,4,16,4.0,accoa_c,C23H34N7O17P3S,2,8,4.0,1000.0,1.0000000000000002,1.0,-2.220446049250313e-16
e4p_c,C4H7O7P,4,16,4.0,f6p_c,C6H11O9P,6,24,4.0,662.1739130434778,0.9932608695652166,1.0,0.006739130434783358
e4p_c,C4H7O7P,4,16,4.0,g6p_c,C6H11O9P,6,24,4.0,662.1739130434779,0.9932608695652168,1.0,0.006739130434783247
e4p_c,C4H7O7P,4,16,4.0,g3p_c,C3H5O6P,3,12,4.0,1000.0,0.75,1.0,0.25
e4p_c,C4H7O7P,4,16,4.0,succoa_c,C25H35N7O19P3S,4,14,3.5,847.9999999999995,0.8479999999999995,1.1428571428571428,0.29485714285714326
pep_c,C3H2O6P,3,10,3.3333333333333335,e4p_c,C4H7O7P,4,16,4.0,165.90736339738686,0.5527178961622196,0.8333333333333334,0.2806154371711138
pep_c,C3H2O6P,3,10,3.3333333333333335,r5p_c,C5H9O8P,5,20,4.0,123.92803524331234,0.5465301604414828,0.8333333333333334,0.28680317289185053
pep_c,C3H2O6P,3,10,3.3333333333333335,oaa_c,C4H2O5,4,10,2.5,565.4932122951591,0.7645466595319329,1.3333333333333335,0.5687866738014006
pep_c,C3H2O6P,3,10,3.3333333333333335,3pg_c,C3H4O7P,3,10,3.3333333333333335,406.41909814323344,0.4681570504659665,1.0,0.5318429495340335
pep_c,C3H2O6P,3,10,3.3333333333333335,pyr_c,C3H3O3,3,10,3.3333333333333335,496.2836520574593,0.8140774716468347,1.0,0.18592252835316525
pep_c,C3H2O6P,3,10,3.3333333333333335,akg_c,C5H4O5,5,16,3.2,436.32175226586196,0.9010328445166461,1.0416666666666667,0.14063382215002063
pep_c,C3H2O6P,3,10,3.3333333333333335,accoa_c,C23H34N7O17P3S,2,8,4.0,632.5451441578182,0.47428763228669674,0.8333333333333334,0.35904570104663663
pep_c,C3H2O6P,3,10,3.3333333333333335,f6p_c,C6H11O9P,6,24,4.0,98.9027889413824,0.5424814023861942,0.8333333333333334,0.2908519309471391
pep_c,C3H2O6P,3,10,3.3333333333333335,g6p_c,C6H11O9P,6,24,4.0,98.90278894138201,0.5424814023867036,0.8333333333333334,0.29085193094662976
pep_c,C3H2O6P,3,10,3.3333333333333335,g3p_c,C3H5O6P,3,12,4.0,250.85095541403376,0.5562634415677667,0.8333333333333334,0.2770698917655666
pep_c,C3H2O6P,3,10,3.3333333333333335,succoa_c,C25H35N7O19P3S,4,14,3.5,535.6145049963957,0.8055030414298191,0.9523809523809524,0.14687791095113334
r5p_c,C5H9O8P,5,20,4.0,e4p_c,C4H7O7P,4,16,4.0,1000.0,0.8,1.0,0.19999999999999996
r5p_c,C5H9O8P,5,20,4.0,pep_c,C3H2O6P,3,10,3.3333333333333335,1000.0,0.6,1.2,0.6
r5p_c,C5H9O8P,5,20,4.0,oaa_c,C4H2O5,4,10,2.5,748.5714285714266,0.5988571428571413,1.6,1.0011428571428587
r5p_c,C5H9O8P,5,20,4.0,3pg_c,C3H4O7P,3,10,3.3333333333333335,1000.0,0.6,1.2,0.6
r5p_c,C5H9O8P,5,20,4.0,pyr_c,C3H3O3,3,10,3.3333333333333335,1000.0,0.6,1.2,0.6
r5p_c,C5H9O8P,5,20,4.0,akg_c,C5H4O5,5,16,3.2,748.5714285714284,0.7485714285714284,1.25,0.5014285714285716
r5p_c,C5H9O8P,5,20,4.0,accoa_c,C23H34N7O17P3S,2,8,4.0,1000.0,0.9999999999999051,1.0,9.492406860545088e-14
r5p_c,C5H9O8P,5,20,4.0,f6p_c,C6H11O9P,6,24,4.0,833.3333333333336,1.0000000000000004,1.0,-4.440892098500626e-16
r5p_c,C5H9O8P,5,20,4.0,g6p_c,C6H11O9P,6,24,4.0,833.3333333333331,0.9999999999999998,1.0,2.220446049250313e-16
r5p_c,C5H9O8P,5,20,4.0,g3p_c,C3H5O6P,3,12,4.0,1000.0,0.6,1.0,0.4
r5p_c,C5H9O8P,5,20,4.0,succoa_c,C25H35N7O19P3S,4,14,3.5,1000.0,0.8,1.1428571428571428,0.34285714285714275
oaa_c,C4H2O5,4,10,2.5,e4p_c,C4H7O7P,4,16,4.0,10.000000000000325,0.6249999999999792,0.625,2.0761170560490427e-14
oaa_c,C4H2O5,4,10,2.5,pep_c,C3H2O6P,3,10,3.3333333333333335,9.999999999999998,0.7500000000000002,0.75,-2.220446049250313e-16
oaa_c,C4H2O5,4,10,2.5,r5p_c,C5H9O8P,5,20,4.0,9.999999999999995,0.6250000000000002,0.625,-2.220446049250313e-16
oaa_c,C4H2O5,4,10,2.5,3pg_c,C3H4O7P,3,10,3.3333333333333335,9.99999999999999,0.7499999999999994,0.75,5.551115123125783e-16
oaa_c,C4H2O5,4,10,2.5,pyr_c,C3H3O3,3,10,3.3333333333333335,561.8214285714289,0.4213660714285717,0.75,0.3286339285714283
oaa_p,C4H2O5,4,10,2.5,pyr_p,C3H3O3,3,10,3.3333333333333335,528.5299806576375,0.550640818958571,0.75,0.19935918104142902
oaa_e,C4H2O5,4,10,2.5,pyr_e,C3H3O3,3,10,3.3333333333333335,528.5299806576332,0.5506408189585769,0.75,0.19935918104142314
oaa_c,C4H2O5,4,10,2.5,akg_c,C5H4O5,5,16,3.2,547.6100628930819,0.6845125786163524,0.78125,0.0967374213836476
oaa_p,C4H2O5,4,10,2.5,akg_p,C5H4O5,5,16,3.2,506.6666666666665,0.6810035842293871,0.78125,0.10024641577061288
oaa_e,C4H2O5,4,10,2.5,akg_e,C5H4O5,5,16,3.2,506.6666666666656,0.6810035842293823,0.78125,0.10024641577061766
oaa_c,C4H2O5,4,10,2.5,accoa_c,C23H34N7O17P3S,2,8,4.0,562.6346153846142,0.2813173076923071,0.625,0.3436826923076929
oaa_c,C4H2O5,4,10,2.5,f6p_c,C6H11O9P,6,24,4.0,9.999999999999964,0.5999999999999998,0.625,0.025000000000000244
oaa_c,C4H2O5,4,10,2.5,g6p_c,C6H11O9P,6,24,4.0,10.000000000000004,0.5999999999999999,0.625,0.025000000000000133
oaa_c,C4H2O5,4,10,2.5,g3p_c,C3H5O6P,3,12,4.0,10.0,0.6249999999999998,0.625,2.220446049250313e-16
oaa_c,C4H2O5,4,10,2.5,succoa_c,C25H35N7O19P3S,4,14,3.5,537.3076923076915,0.5373076923076915,0.7142857142857143,0.17697802197802281
