substrate,formula,Cs,reduction degree,Crd,product,formula,Cp,reduction degree,Crd,rate,path yield,rdyield,difference
e4p_c,C4H7O7P,4,16,4.0,pep_c,C3H2O6P,3,10,3.3333333333333335,1000.0,0.75,1.2,0.44999999999999996
e4p_c,C4H7O7P,4,16,4.0,r5p_c,C5H9O8P,5,20,4.0,799.9999999999999,0.9999999999999999,1.0,1.1102230246251565e-16
e4p_c,C4H7O7P,4,16,4.0,oaa_c,C4H2O5,4,10,2.5,1000.0,1.0,1.6,0.6000000000000001
e4p_c,C4H7O7P,4,16,4.0,3pg_c,C3H4O7P,3,10,3.3333333333333335,1000.0,0.75,1.2,0.44999999999999996
e4p_c,C4H7O7P,4,16,4.0,pyr_c,C3H3O3,3,10,3.3333333333333335,1000.0,1.000000000000001,1.2,0.19999999999999885
e4p_c,C4H7O7P,4,16,4.0,akg_c,C5H4O5,5,16,3.2,751.1884057971027,0.9389855072463784,1.25,0.3110144927536216
e4p_c,C4H7O7P,4,16,4.0,accoa_c,C23H34N7O17P3S,2,8,4.0,1000.0,0.5852059925093619,1.0,0.4147940074906381
e4p_c,C4H7O7P,4,16,4.0,f6p_c,C6H11O9P,6,24,4.0,666.6666666666669,1.0000000000000002,1.0,-2.220446049250313e-16
e4p_c,C4H7O7P,4,16,4.0,g6p_c,C6H11O9P,6,24,4.0,666.6666666666664,0.9999999999999996,1.0,4.440892098500626e-16
e4p_c,C4H7O7P,4,16,4.0,g3p_c,C3H5O6P,3,12,4.0,1000.0,0.75,1.0,0.25
e4p_c,C4H7O7P,4,16,4.0,succoa_c,C25H35N7O19P3S,4,14,3.5,1000.0,0.9999999999999983,1.1428571428571428,0.14285714285714446
pep_c,C3H2O6P,3,10,3.3333333333333335,e4p_c,C4H7O7P,4,16,4.0,625.0000000000001,0.8333333333333335,0.8333333333333334,-1.1102230246251565e-16
pep_c,C3H2O6P,3,10,3.3333333333333335,r5p_c,C5H9O8P,5,20,4.0,500.0000000000001,0.8333333333333335,0.8333333333333334,-1.1102230246251565e-16
pep_c,C3H2O6P,3,10,3.3333333333333335,oaa_c,C4H2O5,4,10,2.5,749.9999999999998,0.9999999999999997,1.3333333333333335,0.3333333333333338
pep_c,C3H2O6P,3,10,3.3333333333333335,3pg_c,C3H4O7P,3,10,3.3333333333333335,1000.0,1.0,1.0,0.0
pep_c,C3H2O6P,3,10,3.3333333333333335,pyr_c,C3H3O3,3,10,3.3333333333333335,1000.0,0.9999999999999999,1.0,1.1102230246251565e-16
pep_c,C3H2O6P,3,10,3.3333333333333335,akg_c,C5H4O5,5,16,3.2,600.0000000000002,1.0000000000000004,1.0416666666666667,0.0416666666666663
pep_c,C3H2O6P,3,10,3.3333333333333335,accoa_c,C23H34N7O17P3S,2,8,4.0,1000.0,0.8320021299254526,0.8333333333333334,0.0013312034078807322
pep_c,C3H2O6P,3,10,3.3333333333333335,f6p_c,C6H11O9P,6,24,4.0,393.0434782608699,0.8144144144144123,0.8333333333333334,0.018918918918921057
pep_c,C3H2O6P,3,10,3.3333333333333335,g6p_c,C6H11O9P,6,24,4.0,393.04347826087036,0.8144144144144144,0.8333333333333334,0.018918918918918948
pep_c,C3H2O6P,3,10,3.3333333333333335,g3p_c,C3H5O6P,3,12,4.0,833.3333333333336,0.8333333333333336,0.8333333333333334,-2.220446049250313e-16
pep_c,C3H2O6P,3,10,3.3333333333333335,succoa_c,C25H35N7O19P3S,4,14,3.5,714.28571428571,0.9523809523809468,0.9523809523809524,5.662137425588298e-15
r5p_c,C5H9O8P,5,20,4.0,e4p_c,C4H7O7P,4,16,4.0,1000.0,0.8,1.0,0.19999999999999996
r5p_c,C5H9O8P,5,20,4.0,pep_c,C3H2O6P,3,10,3.3333333333333335,1000.0,0.6,1.2,0.6
r5p_c,C5H9O8P,5,20,4.0,oaa_c,C4H2O5,4,10,2.5,1000.0,0.8,1.6,0.8
r5p_c,C5H9O8P,5,20,4.0,3pg_c,C3H4O7P,3,10,3.3333333333333335,1000.0,0.5999999999999992,1.2,0.6000000000000008
r5p_c,C5H9O8P,5,20,4.0,pyr_c,C3H3O3,3,10,3.3333333333333335,1000.0,0.6,1.2,0.6
r5p_c,C5H9O8P,5,20,4.0,akg_c,C5H4O5,5,16,3.2,876.0289855072467,0.8760289855072467,1.25,0.3739710144927533
r5p_c,C5H9O8P,5,20,4.0,accoa_c,C23H34N7O17P3S,2,8,4.0,1000.0,0.4742056300592005,1.0,0.5257943699407994
r5p_c,C5H9O8P,5,20,4.0,f6p_c,C6H11O9P,6,24,4.0,833.3333333333331,0.9999999999999998,1.0,2.220446049250313e-16
r5p_c,C5H9O8P,5,20,4.0,g6p_c,C6H11O9P,6,24,4.0,833.3333333333333,1.0,1.0,0.0
r5p_c,C5H9O8P,5,20,4.0,g3p_c,C3H5O6P,3,12,4.0,1000.0,0.6,1.0,0.4
r5p_c,C5H9O8P,5,20,4.0,succoa_c,C25H35N7O19P3S,4,14,3.5,1000.0,0.9333333333333304,1.1428571428571428,0.20952380952381244
oaa_c,C4H2O5,4,10,2.5,e4p_c,C4H7O7P,4,16,4.0,508.4444444444452,0.5084444444444451,0.625,0.11655555555555486
oaa_c,C4H2O5,4,10,2.5,pep_c,C3H2O6P,3,10,3.3333333333333335,999.2195121951216,0.7494146341463412,0.75,0.0005853658536587591
oaa_c,C4H2O5,4,10,2.5,r5p_c,C5H9O8P,5,20,4.0,409.7910447761192,0.5122388059701489,0.625,0.11276119402985108
oaa_c,C4H2O5,4,10,2.5,3pg_c,C3H4O7P,3,10,3.3333333333333335,999.2195121951224,0.7494146341463418,0.75,0.000585365853658204
oaa_c,C4H2O5,4,10,2.5,pyr_c,C3H3O3,3,10,3.3333333333333335,1000.0,0.75,0.75,0.0
oaa_c,C4H2O5,4,10,2.5,akg_c,C5H4O5,5,16,3.2,624.9999999999991,0.7812499999999989,0.78125,1.1102230246251565e-15
oaa_c,C4H2O5,4,10,2.5,accoa_c,C23H34N7O17P3S,2,8,4.0,1000.0,0.49999999999999983,0.625,0.12500000000000017
oaa_c,C4H2O5,4,10,2.5,f6p_c,C6H11O9P,6,24,4.0,343.20000000000016,0.5148000000000001,0.625,0.11019999999999985
oaa_c,C4H2O5,4,10,2.5,g6p_c,C6H11O9P,6,24,4.0,343.2000000000001,0.5148000000000001,0.625,0.11019999999999985
oaa_c,C4H2O5,4,10,2.5,g3p_c,C3H5O6P,3,12,4.0,669.6585365853659,0.5022439024390245,0.625,0.1227560975609755
oaa_c,C4H2O5,4,10,2.5,succoa_c,C25H35N7O19P3S,4,14,3.5,714.2857142857142,0.7142857142857142,0.7142857142857143,1.1102230246251565e-16
3pg_c,C3H4O7P,3,10,3.3333333333333335,e4p_c,C4H7O7P,4,16,4.0,625.0000000000002,0.8333333333333336,0.8333333333333334,-2.220446049250313e-16
3pg_c,C3H4O7P,3,10,3.3333333333333335,pep_c,C3H2O6P,3,10,3.3333333333333335,1000.0,1.0000000000000002,1.0,-2.220446049250313e-16
3pg_c,C3H4O7P,3,10,3.3333333333333335,r5p_c,C5H9O8P,5,20,4.0,499.9999999999999,0.8333333333333331,0.8333333333333334,2.220446049250313e-16
3pg_c,C3H4O7P,3,10,3.3333333333333335,oaa_c,C4H2O5,4,10,2.5,749.9999999999999,0.9999999999999999,1.3333333333333335,0.3333333333333336
