substrate,formula,Cs,reduction degree,Crd,product,formula,Cp,reduction degree,Crd,rate,path yield,rdyield,difference
e4p_c,C4H7O7P,4,16,4.0,pep_c,C3H2O6P,3,10,3.3333333333333335,1000.0,0.75,1.2,0.44999999999999996
e4p_c,C4H7O7P,4,16,4.0,r5p_c,C5H9O8P,5,20,4.0,800.0000000000001,1.0000000000000002,1.0,-2.220446049250313e-16
e4p_c,C4H7O7P,4,16,4.0,oaa_c,C4H2O5,4,10,2.5,1000.0,1.0,1.6,0.6000000000000001
e4p_c,C4H7O7P,4,16,4.0,3pg_c,C3H4O7P,3,10,3.3333333333333335,1000.0,0.8749999999999994,1.2,0.3250000000000005
e4p_c,C4H7O7P,4,16,4.0,pyr_c,C3H3O3,3,10,3.3333333333333335,1000.0,0.8750000000000001,1.2,0.32499999999999984
e4p_c,C4H7O7P,4,16,4.0,akg_c,C5H4O5,5,16,3.2,800.0000000000031,1.0000000000000038,1.25,0.24999999999999623
e4p_c,C4H7O7P,4,16,4.0,accoa_c,C23H34N7O17P3S,2,8,4.0,1000.0,0.9047619047619059,1.0,0.09523809523809412
e4p_c,C4H7O7P,4,16,4.0,f6p_c,C6H11O9P,6,24,4.0,666.6666666666667,1.0000000000000002,1.0,-2.220446049250313e-16
e4p_c,C4H7O7P,4,16,4.0,g6p_c,C6H11O9P,6,24,4.0,666.6666666666666,1.0,1.0,0.0
e4p_c,C4H7O7P,4,16,4.0,g3p_c,C3H5O6P,3,12,4.0,1000.0,0.75,1.0,0.25
e4p_c,C4H7O7P,4,16,4.0,succoa_c,C25H35N7O19P3S,4,14,3.5,1000.0,1.0,1.1428571428571428,0.1428571428571428
pep_c,C3H2O6P,3,10,3.3333333333333335,e4p_c,C4H7O7P,4,16,4.0,625.0000000000016,0.8333333333333354,0.8333333333333334,-1.9984014443252818e-15
pep_c,C3H2O6P,3,10,3.3333333333333335,r5p_c,C5H9O8P,5,20,4.0,499.99999999999983,0.833333333333333,0.8333333333333334,3.3306690738754696e-16
pep_c,C3H2O6P,3,10,3.3333333333333335,oaa_c,C4H2O5,4,10,2.5,750.0000000000008,1.000000000000001,1.3333333333333335,0.33333333333333237
pep_c,C3H2O6P,3,10,3.3333333333333335,3pg_c,C3H4O7P,3,10,3.3333333333333335,1000.0,0.9999999999999999,1.0,1.1102230246251565e-16
