substrate,formula,Cs,reduction degree,Crd,product,formula,Cp,reduction degree,Crd,rate,path yield,rdyield,difference
e4p_c,C4H7O7P,4,16,4.0,pep_c,C3H2O6P,3,10,3.3333333333333335,1000.0,0.75,1.2,0.44999999999999996
e4p_c,C4H7O7P,4,16,4.0,r5p_c,C5H9O8P,5,20,4.0,800.000000000001,1.0000000000000013,1.0,-1.3322676295501878e-15
e4p_c,C4H7O7P,4,16,4.0,oaa_c,C4H2O5,4,10,2.5,667.0471721014516,0.6670471721014516,1.6,0.9329528278985485
e4p_c,C4H7O7P,4,16,4.0,3pg_c,C3H4O7P,3,10,3.3333333333333335,1000.0,0.75,1.2,0.44999999999999996
e4p_c,C4H7O7P,4,16,4.0,pyr_c,C3H3O3,3,10,3.3333333333333335,1000.0,0.75,1.2,0.44999999999999996
e4p_c,C4H7O7P,4,16,4.0,akg_c,C5H4O5,5,16,3.2,625.7907579908691,0.7822384474885864,1.25,0.4677615525114136
e4p_c,C4H7O7P,4,16,4.0,accoa_c,C23H34N7O17P3S,2,8,4.0,1000.0,0.882113821138211,1.0,0.11788617886178898
e4p_c,C4H7O7P,4,16,4.0,f6p_c,C6H11O9P,6,24,4.0,666.6666666666666,1.0,1.0,0.0
e4p_c,C4H7O7P,4,16,4.0,g6p_c,C6H11O9P,6,24,4.0,666.6666666666667,1.0000000000000002,1.0,-2.220446049250313e-16
e4p_c,C4H7O7P,4,16,4.0,g3p_c,C3H5O6P,3,12,4.0,1000.0,0.75,1.0,0.25
e4p_c,C4H7O7P,4,16,4.0,succoa_c,C25H35N7O19P3S,4,14,3.5,951.7234444444441,0.9517234444444441,1.1428571428571428,0.19113369841269867
pep_c,C3H2O6P,3,10,3.3333333333333335,e4p_c,C4H7O7P,4,16,4.0,625.0000000000005,0.8333333333333345,0.8333333333333334,-1.1102230246251565e-15
pep_c,C3H2O6P,3,10,3.3333333333333335,r5p_c,C5H9O8P,5,20,4.0,500.00000000000034,0.8333333333333339,0.8333333333333334,-5.551115123125783e-16
pep_c,C3H2O6P,3,10,3.3333333333333335,oaa_c,C4H2O5,4,10,2.5,657.8705217391184,0.8771606956521578,1.3333333333333335,0.45617263768117566
pep_c,C3H2O6P,3,10,3.3333333333333335,3pg_c,C3H4O7P,3,10,3.3333333333333335,1000.0,1.0,1.0,0.0
pep_c,C3H2O6P,3,10,3.3333333333333335,pyr_c,C3H3O3,3,10,3.3333333333333335,999.9999999999974,0.9999999999999973,1.0,2.6645352591003757e-15
pep_c,C3H2O6P,3,10,3.3333333333333335,akg_c,C5H4O5,5,16,3.2,600.0000000000006,1.0000000000000009,1.0416666666666667,0.04166666666666585
pep_c,C3H2O6P,3,10,3.3333333333333335,accoa_c,C23H34N7O17P3S,2,8,4.0,1000.0,0.7391304347826048,0.8333333333333334,0.09420289855072861
pep_c,C3H2O6P,3,10,3.3333333333333335,f6p_c,C6H11O9P,6,24,4.0,416.6666666666658,0.8333333333333348,0.8333333333333334,-1.4432899320127035e-15
pep_c,C3H2O6P,3,10,3.3333333333333335,g6p_c,C6H11O9P,6,24,4.0,416.6666666666663,0.8333333333333354,0.8333333333333334,-1.9984014443252818e-15
pep_c,C3H2O6P,3,10,3.3333333333333335,g3p_c,C3H5O6P,3,12,4.0,833.3333333333348,0.8333333333333335,0.8333333333333334,-1.1102230246251565e-16
pep_c,C3H2O6P,3,10,3.3333333333333335,succoa_c,C25H35N7O19P3S,4,14,3.5,714.2857142857138,0.9523809523809518,0.9523809523809524,6.661338147750939e-16
r5p_c,C5H9O8P,5,20,4.0,e4p_c,C4H7O7P,4,16,4.0,1000.0,0.8,1.0,0.19999999999999996
r5p_c,C5H9O8P,5,20,4.0,pep_c,C3H2O6P,3,10,3.3333333333333335,1000.0,0.6,1.2,0.6
r5p_c,C5H9O8P,5,20,4.0,oaa_c,C4H2O5,4,10,2.5,778.8977321937326,0.6231181857549861,1.6,0.976881814245014
r5p_c,C5H9O8P,5,20,4.0,3pg_c,C3H4O7P,3,10,3.3333333333333335,1000.0,0.6525656699673514,1.2,0.5474343300326485
r5p_c,C5H9O8P,5,20,4.0,pyr_c,C3H3O3,3,10,3.3333333333333335,1000.0,0.6,1.2,0.6
r5p_p,C5H9O8P,5,20,4.0,pyr_p,C3H3O3,3,10,3.3333333333333335,1000.0,0.6765153775327867,1.2,0.5234846224672133
r5p_e,C5H9O8P,5,20,4.0,pyr_e,C3H3O3,3,10,3.3333333333333335,1000.0,0.6765153775327858,1.2,0.5234846224672142
