,All Metabolites,GSC,IN,OUT,IS
iAF692,544.0,247.0,32.0,195.0,70.0
iAF987,945.0,548.0,88.0,242.0,67.0
iAM_Pb448,806.0,508.0,79.0,109.0,110.0
iAM_Pc455,809.0,514.0,81.0,105.0,109.0
iAM_Pf480,811.0,516.0,82.0,105.0,108.0
iAM_Pk459,811.0,514.0,81.0,107.0,109.0
iHN637,624.0,294.0,59.0,177.0,94.0
iJN1463,1947.0,933.0,594.0,223.0,197.0
iML1515,1713.0,906.0,411.0,230.0,166.0
iPC815,1393.0,615.0,233.0,212.0,333.0
iSDY_1059,1670.0,782.0,247.0,276.0,365.0
iSF_1195,1702.0,771.0,364.0,271.0,296.0
iSSON_1240,1723.0,810.0,383.0,265.0,265.0
iSbBS512_1146,1688.0,802.0,288.0,254.0,344.0
iYL1228,1499.0,763.0,379.0,201.0,156.0
