,All Metabolites,GSC,IN,OUT,IS
iAF692,546.0,104.0,25.0,280.0,137.0
iAF987,948.0,260.0,70.0,482.0,136.0
iAM_Pb448,805.0,63.0,131.0,118.0,493.0
iAM_Pc455,808.0,63.0,138.0,118.0,489.0
iAM_Pf480,810.0,67.0,148.0,118.0,477.0
iAM_Pk459,810.0,63.0,138.0,118.0,491.0
iHN637,628.0,127.0,52.0,307.0,142.0
iJN1463,1952.0,772.0,600.0,318.0,262.0
iML1515,1713.0,761.0,371.0,336.0,245.0
iPC815,1395.0,262.0,395.0,141.0,597.0
iSDY_1059,1706.0,643.0,219.0,350.0,494.0
iSF_1195,1732.0,640.0,335.0,309.0,448.0
iSSON_1240,1751.0,671.0,347.0,329.0,404.0
iSbBS512_1146,1730.0,664.0,253.0,328.0,485.0
iYL1228,1501.0,625.0,335.0,298.0,243.0
