bigg_id,name,iAF692_results,iAF987_results,iAM_Pb448_results,iAM_Pc455_results,iAM_Pf480_results,iAM_Pk459_results,iHN637_results,iJN1463_results,iML1515_results,iPC815_results,iSDY_1059_results,iSF_1195_results,iSSON_1240_results,iSbBS512_1146_results,iYL1228_results,iAF692,iAF987,iAM_Pb448,iAM_Pc455,iAM_Pf480,iAM_Pk459,iHN637,iJN1463,iML1515,iPC815,iSDY_1059,iSF_1195,iSSON_1240,iSbBS512_1146,iYL1228
12dgr120_c,"1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)",,IS,,,,,IS,OUT,GSC,GSC,GSC,GSC,GSC,GSC,GSC,,IS,,,,,IS,OUT,GSC,GSC,GSC,GSC,GSC,GSC,GSC
12dgr140_c,"1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)",,IS,,,,,IS,OUT,GSC,GSC,GSC,GSC,GSC,GSC,GSC,,IS,,,,,IS,OUT,GSC,GSC,GSC,GSC,GSC,GSC,GSC
12dgr180_c,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",,IS,,,,,IS,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC,,IS,,,,,IS,GSC,GSC,GSC,GSC,GSC,GSC,GSC,GSC
14glucan_c,"1,4-alpha-D-glucan",,,,,,,,,IN,IS,IN,IN,IN,IN,IN,,,,,,,,,IN,IS,IN,IN,IN,IN,IN
15dap_c,"1,5-Diaminopentane",,,IS,IS,IS,IS,OUT,GSC,OUT,,IS,OUT,OUT,OUT,OUT,,,IS,IS,IS,IS,OUT,GSC,OUT,,IS,OUT,OUT,OUT,OUT
23ddhb_c,"2,3-Dihydro-2,3-dihydroxybenzoate",,,,,,,,,OUT,,OUT,OUT,OUT,OUT,OUT,,,,,,,,,OUT,,OUT,OUT,OUT,OUT,OUT
23dhba_c,"(2,3-Dihydroxybenzoyl)adenylate",,,,,,,,,GSC,,GSC,GSC,GSC,GSC,GSC,,,,,,,,,GSC,,GSC,GSC,GSC,GSC,GSC
23dhbzs_c,"2,3-dihydroxybenzoylserine",,,,,,,,,GSC,,GSC,GSC,GSC,GSC,GSC,,,,,,,,,GSC,,GSC,GSC,GSC,GSC,GSC
26dap_LL_c,"LL-2,6-Diaminoheptanedioate",,OUT,,,,,OUT,GSC,OUT,IS,OUT,OUT,OUT,OUT,OUT,,OUT,,,,,OUT,GSC,OUT,IS,OUT,OUT,OUT,OUT,OUT
2agpe141_c,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1),,IS,,,,,,,GSC,IN,GSC,GSC,GSC,GSC,GSC,,IS,,,,,,,GSC,IN,GSC,GSC,GSC,GSC,GSC
2agpe160_c,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0),,IS,,,,,,GSC,GSC,IN,GSC,GSC,GSC,GSC,GSC,,IS,,,,,,GSC,GSC,IN,GSC,GSC,GSC,GSC,GSC
2agpg120_c,2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0),,IS,,,,,,,GSC,GSC,GSC,GSC,GSC,GSC,GSC,,IS,,,,,,,GSC,GSC,GSC,GSC,GSC,GSC,GSC
2agpg140_c,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0),,IS,,,,,,,GSC,GSC,GSC,GSC,GSC,GSC,GSC,,IS,,,,,,,GSC,GSC,GSC,GSC,GSC,GSC,GSC
2aobut_c,L-2-Amino-3-oxobutanoate,,,,,,,,GSC,GSC,IN,GSC,GSC,GSC,GSC,GSC,,,,,,,,GSC,GSC,IN,GSC,GSC,GSC,GSC,GSC
2dh3dgal6p_c,2-Dehydro-3-deoxy-D-galactonate 6-phosphate,,,,,,,,,GSC,,GSC,IS,IS,GSC,GSC,,,,,,,,,GSC,,GSC,IS,IS,GSC,GSC
2dhp_c,2-Dehydropantoate,OUT,OUT,,,,,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,,,,,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT
2dmmql8_c,2-Demethylmenaquinol 8,,OUT,,,,,IS,,OUT,OUT,OUT,OUT,OUT,OUT,OUT,,OUT,,,,,IS,,OUT,OUT,OUT,OUT,OUT,OUT,OUT
2h3oppan_c,2-Hydroxy-3-oxopropanoate,,,,,,,IN,GSC,GSC,IN,GSC,GSC,GSC,GSC,IN,,,,,,,IN,GSC,GSC,IN,GSC,GSC,GSC,GSC,IN
2hdecg3p_c,2-hexadecanoyl-sn-glycerol 3-phosphate,,,,,,,,,GSC,GSC,GSC,GSC,GSC,GSC,GSC,,,,,,,,,GSC,GSC,GSC,GSC,GSC,GSC,GSC
2odecg3p_c,2-octadecanoyl-sn-glycerol 3-phosphate,,,,,,,,,GSC,GSC,GSC,GSC,GSC,GSC,GSC,,,,,,,,,GSC,GSC,GSC,GSC,GSC,GSC,GSC
2ohph_c,2-Octaprenyl-6-hydroxyphenol,,,,,,,,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,,,,,,,,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT
2ombzl_c,"2-Octaprenyl-6-methoxy-1,4-benzoquinol",,,,,,,,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,,,,,,,,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT
2omph_c,2-Octaprenyl-6-methoxyphenol,,,,,,,,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,,,,,,,,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT
2oph_c,2-Octaprenylphenol,,,,,,,,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,,,,,,,,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT
2pglyc_c,2-Phosphoglycolate,IS,,,,,,,IN,IN,IN,IN,IS,IN,IN,IS,IS,,,,,,,IN,IN,IN,IN,IS,IN,IN,IS
35cgmp_c,"3',5'-Cyclic GMP",,,IS,IN,IN,IN,,GSC,GSC,,OUT,GSC,GSC,GSC,,,,IS,IN,IN,IN,,GSC,GSC,,OUT,GSC,GSC,GSC,
3c2hmp_c,3-Carboxy-2-hydroxy-4-methylpentanoate,GSC,GSC,,,,,GSC,GSC,GSC,OUT,GSC,GSC,GSC,GSC,OUT,GSC,GSC,,,,,GSC,GSC,GSC,OUT,GSC,GSC,GSC,GSC,OUT
